STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
ARUNACHAL PRADESH,KAMENG EAST,2016,3,1,0,2,0,2,7,5,2,1,0,6,8,26,0,26,0,1,1,0,1,36,0,5,0,0,0,0,28,126
ARUNACHAL PRADESH,KAMENG WEST,2016,4,2,0,0,0,0,2,2,0,1,0,0,6,26,0,26,0,1,4,0,0,27,0,0,0,0,0,0,30,103
ARUNACHAL PRADESH,LOHIT,2016,16,6,1,2,0,2,6,6,0,2,0,8,20,31,0,31,3,5,2,0,2,40,0,8,0,0,0,0,38,190
ARUNACHAL PRADESH,PAPUM PARE,2016,11,8,0,9,0,9,15,5,10,4,0,29,59,109,29,80,9,12,8,2,1,84,0,6,0,3,0,0,129,498
ARUNACHAL PRADESH,SIANG EAST,2016,7,0,0,5,0,5,11,7,4,4,0,8,25,52,4,48,1,4,4,0,1,58,0,7,0,2,0,0,54,243
ARUNACHAL PRADESH,SIANG UPPER,2016,1,1,0,2,0,2,5,5,0,0,0,0,5,9,0,9,1,1,0,0,2,15,0,3,0,0,0,0,11,56
ARUNACHAL PRADESH,SIANG WEST,2016,5,14,0,4,0,4,17,10,7,1,0,10,34,72,1,71,2,5,5,0,3,71,0,25,2,2,0,0,89,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2017,8,10,1,2,0,2,6,5,1,1,0,7,17,25,0,25,5,3,2,0,2,11,0,4,0,0,0,0,44,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2017,4,0,0,2,0,2,1,1,0,3,0,5,17,20,0,20,2,2,0,0,0,34,0,8,0,2,0,0,40,140
ARUNACHAL PRADESH,TAWANG,2017,2,0,0,1,0,1,0,0,0,0,0,0,3,13,1,12,0,0,1,0,0,3,0,5,1,0,0,0,19,48
ARUNACHAL PRADESH,TIRAP,2017,8,4,1,1,0,1,6,3,3,0,0,2,18,17,0,17,1,0,0,2,0,30,0,0,0,0,0,0,37,127
ARUNACHAL PRADESH,TOTAL,2017,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
ASSAM,BARPETA,2018,64,5,0,28,0,28,105,88,17,43,1,45,93,187,2,185,196,26,29,1,38,266,10,29,0,95,0,87,430,1778
ASSAM,BONGAIGAON,2018,45,22,0,20,0,20,36,21,15,13,0,25,87,92,0,92,87,4,13,0,12,67,1,22,0,26,0,50,188,810
ASSAM,C.I.D.,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,8
ASSAM,CACHAR,2018,52,30,1,45,0,45,104,74,30,29,0,42,189,359,0,359,533,29,33,4,64,286,7,80,0,216,0,235,1124,3462
ASSAM,DARRANG,2018,61,13,0,48,0,48,64,47,17,21,0,29,111,185,2,183,100,21,25,0,16,319,9,56,0,37,0,66,273,1454
ASSAM,DHEMAJI,2018,15,16,0,42,0,42,31,20,11,2,0,12,26,79,0,79,13,7,15,3,16,203,0,26,0,0,0,20,126,652
ASSAM,DHUBRI,2018,65,23,0,43,0,43,69,51,18,53,1,19,79,83,2,81,402,11,24,1,23,193,5,49,0,111,0,47,204,1505
ASSAM,DIBRUGARH,2018,110,22,6,35,0,35,57,37,20,14,0,29,114,325,18,307,21,13,12,1,20,351,3,41,0,19,0,108,264,1565
ASSAM,G.R.P.,2018,13,1,0,1,0,1,3,0,3,8,0,16,11,135,0,135,9,1,0,0,0,35,0,0,0,0,0,0,110,343
ASSAM,GOALPARA,2018,28,12,0,35,0,35,43,35,8,37,0,13,61,116,1,115,129,8,16,2,4,51,1,54,0,64,0,99,100,873
ASSAM,GOLAGHAT,2018,53,2,0,30,0,30,44,40,4,13,1,27,95,211,27,184,26,3,20,0,21,135,0,23,0,26,0,73,363,1166
ASSAM,GUWAHATI CITY,2018,71,44,12,37,0,37,129,64,65,38,4,73,227,736,124,612,151,52,72,7,18,913,5,67,0,98,0,311,1308,4373
ASSAM,HAILAKANDI,2018,18,4,0,24,0,24,36,34,2,6,0,8,93,92,1,91,160,6,14,0,19,60,2,27,0,28,0,26,197,820
ASSAM,JORHAT,2018,40,22,2,42,0,42,37,28,9,6,0,27,43,230,27,203,30,21,23,5,13,134,2,44,0,48,0,58,363,1190
ASSAM,KAMRUP,2018,37,30,8,21,0,21,95,65,30,30,1,41,196,275,40,235,55,26,50,1,6,404,2,42,0,27,0,52,612,2011
ASSAM,KARBI ANGLONG,2019,65,26,3,5,0,5,38,15,23,12,0,33,13,79,3,76,90,3,11,1,24,66,4,5,0,8,0,35,200,721
ASSAM,KARIMGANJ,2019,32,20,0,33,0,33,42,8,34,8,0,5,57,114,9,105,271,9,8,2,17,68,1,9,0,30,0,20,97,843
ASSAM,KOKRAJHAR,2020,87,27,1,14,0,14,41,12,29,14,0,10,42,89,0,89,50,3,10,2,6,156,0,37,0,20,0,50,117,776
ASSAM,LAKHIMPUR,2020,26,21,1,64,0,64,72,62,10,15,0,47,124,195,0,195,106,25,71,0,0,386,0,22,0,93,0,89,422,1779
ASSAM,MORIGAON,2020,20,9,0,23,0,23,39,37,2,15,0,10,84,66,3,63,79,4,7,1,5,31,0,6,0,28,0,45,259,731
ASSAM,N.C.HILLS,2020,17,8,1,2,0,2,8,4,4,4,0,5,17,30,3,27,4,8,3,0,3,22,0,2,0,7,0,16,30,187
ASSAM,NAGAON,2020,95,22,3,51,0,51,119,109,10,59,2,33,288,491,36,455,267,32,35,6,41,513,1,113,4,132,0,194,701,3202
ASSAM,NALBARI,2020,79,36,0,30,0,30,53,27,26,15,1,39,96,119,3,116,4,14,18,3,21,172,3,16,0,15,0,27,433,1194
ASSAM,R.P.O.,2020,11,0,0,3,0,3,2,0,2,13,0,2,1,29,0,29,13,0,1,0,0,0,0,0,0,0,0,0,26,101
ASSAM,SIBSAGAR,2020,59,24,0,47,0,47,64,64,0,3,0,41,1,343,35,308,50,14,29,5,21,286,0,28,0,0,0,82,546,1643
ASSAM,SONITPUR,2020,86,25,1,53,0,53,87,80,7,27,3,21,175,356,6,350,85,22,21,1,32,451,1,43,0,99,0,145,575,2309
ASSAM,TINSUKIA,2020,107,17,1,41,0,41,62,48,14,34,0,35,100,350,8,342,22,12,10,0,1,237,2,9,0,21,0,75,245,1381
ASSAM,TOTAL,2020,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
BIHAR,ARARIA,2020,47,27,4,93,0,93,79,13,66,39,1,43,80,161,19,142,375,26,47,0,3,10,11,3,0,50,0,26,944,2069
BIHAR,ARWAL,2020,37,64,1,0,0,0,13,0,13,5,0,8,20,24,0,24,76,9,7,0,14,209,7,11,0,14,0,21,51,591
BIHAR,AURANGABAD,2020,74,46,0,16,0,16,24,4,20,19,1,28,137,103,8,95,155,13,28,2,3,25,33,13,2,19,0,82,867,1690
BIHAR,BAGAHA,2020,34,67,12,25,0,25,56,6,50,1,0,9,7,115,0,115,67,1,15,0,6,343,0,4,0,2,0,2,146,912
BIHAR,BANKA,2020,93,16,4,34,0,34,27,10,17,49,2,39,51,73,0,73,196,4,3,0,4,8,9,0,0,16,0,0,758,1386
BIHAR,BEGUSARAI,2020,124,77,5,13,0,13,53,7,46,18,0,67,76,265,16,249,147,26,26,0,6,65,21,32,0,21,0,71,1515,2628
BIHAR,BETTIAH,2021,66,9,20,20,0,20,84,23,61,8,2,32,93,265,14,251,340,35,33,1,21,842,17,23,0,54,8,41,782,2796
BIHAR,BHABHUA,2021,41,25,3,10,0,10,43,12,31,34,1,26,96,184,1,183,186,8,23,0,21,92,8,7,0,22,0,52,486,1368
BIHAR,BHAGALPUR,2021,128,73,6,35,0,35,66,9,57,22,6,55,127,370,25,345,171,22,47,1,13,9,20,15,0,52,0,53,1343,2634
